,gvkey,acominc,act,ap,at,ch,citotal,cshpri,dltt,dvt,ebit,ebitda,gp,icapt,invt,lt,opeps,revt,seq,txdi,txp,txt,sic,ni,pi,txpd,prev_ni,prev2_ni,prev3_ni,t90ret,b5ret,cpiret,SNP500,SNP500_CD
2003,10124,-9.0,124.0,4.0,170.0,3.0,1.0,26.0,0.0,16.0,13.0,19.0,40.0,133.0,48.0,36.0,0.0,147.0,133.0,2.0,1.0,8.0,3480,4.0,20.0,2.0,12.0,8.0,13.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,10198,-1.0,77.0,5.0,102.0,14.0,2.0,7.0,6.0,3.0,9.0,13.0,51.0,91.0,36.0,18.0,0.0,134.0,84.0,0.0,0.0,3.0,2300,5.0,8.0,2.0,5.0,0.0,6.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,10839,-41.0,334.0,80.0,988.0,76.0,-10.0,53.0,259.0,0.0,13.0,83.0,141.0,750.0,118.0,497.0,-1.0,849.0,479.0,-5.0,1.0,-3.0,2200,-70.0,-25.0,-13.0,-28.0,-44.0,-45.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,11060,-190.0,2208.0,315.0,4245.0,514.0,275.0,107.0,956.0,111.0,611.0,719.0,2053.0,2937.0,932.0,2264.0,3.0,5207.0,1981.0,30.0,91.0,200.0,2300,474.0,598.0,128.0,397.0,-155.0,137.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,11465,-757.0,3865.0,1944.0,7361.0,249.0,281.0,68.0,1134.0,123.0,860.0,1287.0,3199.0,2498.0,1340.0,5997.0,6.0,12176.0,1301.0,58.0,95.0,228.0,3630,406.0,652.0,261.0,414.0,-394.0,21.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,11566,8.0,386.0,26.0,578.0,55.0,38.0,39.0,43.0,8.0,79.0,97.0,344.0,474.0,164.0,148.0,1.0,888.0,430.0,-1.0,1.0,23.0,3140,65.0,75.0,22.0,51.0,47.0,45.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,12395,0.0,0.0,151.0,3787.0,425.0,403.0,70.0,1407.0,0.0,490.0,502.0,791.0,2884.0,3080.0,2310.0,3.0,2774.0,1476.0,17.0,85.0,151.0,1531,409.0,411.0,109.0,259.0,219.0,213.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,12459,0.0,0.0,198.0,1363.0,232.0,261.0,7.0,204.0,0.0,719.0,727.0,983.0,699.0,917.0,868.0,60.0,3687.0,494.0,-4.0,0.0,276.0,1531,523.0,696.0,162.0,419.0,331.0,236.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,12597,0.0,38.0,3.0,42.0,1.0,2.0,2.0,0.0,0.0,4.0,4.0,15.0,21.0,25.0,21.0,0.0,77.0,21.0,-1.0,0.0,1.0,3842,3.0,3.0,0.0,2.0,1.0,1.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,12615,0.0,0.0,55.0,746.0,3.0,50.0,14.0,179.0,1.0,144.0,147.0,275.0,582.0,657.0,344.0,5.0,1069.0,402.0,6.0,0.0,53.0,1531,91.0,135.0,41.0,81.0,66.0,55.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
