gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,fyr,fdate,acominc,act,ap,at,ch,citotal,cshpri,dltt,dvpd,dvt,ebit,ebitda,gld,gleps,glp,gp,icapt,invt,lt,opeps,opiti,revt,seq,teq,tii,txdba,txdbca,txdbcl,txdi,txp,txt,uopi,costat,ggroup,sic,spcindcd,spcseccd
002444,12/31/2002,2002,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,12,,-145.8000,1660.2000,291.2000,3407.1000,351.4000,,90.0000,589.5000,,45.1000,196.6000,345.0000,,,,1008.3000,1691.3000,546.9000,2305.3000,1.1500,,3711.9000,1101.8000,1101.8000,,0.0000,305.1000,0.0000,33.6000,,58.1000,,A,2520,3510,475,976
002444,12/31/2003,2003,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,12,,-72.2000,1715.2000,321.3000,3602.5000,345.9000,,91.2000,583.8000,,45.9000,246.4000,397.0000,,,,1147.7000,1906.8000,623.8000,2279.5000,1.6600,,4128.7000,1323.0000,1323.0000,,0.0000,302.3000,0.0000,1.6000,0.0000,65.9000,,A,2520,3510,475,976
002444,12/31/2004,2004,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,12,,-54.3000,2098.7000,387.9000,4346.4000,499.8000,287.7000,95.6000,728.4000,,58.1000,400.7000,558.2000,,,,1471.7000,2440.7000,786.8000,2634.1000,2.8200,,5229.3000,1712.3000,1712.3000,,0.0000,292.7000,0.0000,2.7000,0.0000,108.7000,,A,2520,3510,475,976
002444,12/31/2005,2005,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,12,,-66.1000,2235.0000,472.2000,4621.5000,487.7000,373.6000,97.6000,723.7000,,57.3000,478.6000,640.8000,0.3200,0.3200,38.7000,1586.8000,2702.5000,874.6000,2642.7000,3.2900,,5923.8000,1978.8000,1978.8000,,0.0000,274.8000,0.0000,-10.2000,,110.4000,,A,2520,3510,475,976
002444,12/31/2006,2006,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,12,02/28/2007,-89.0000,2078.4000,448.6000,4450.3000,283.4000,171.7000,94.0000,725.7000,,55.0000,358.3000,525.6000,,,,1400.6000,2597.5000,861.9000,2578.5000,2.4200,,5665.0000,1871.8000,1871.8000,,0.0000,249.9000,0.0000,-30.0000,0.0000,46.5000,,A,2520,3510,475,976
002444,12/31/2007,2007,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,12,03/03/2008,-52.7000,2114.3000,437.3000,4365.6000,331.4000,147.9000,89.8000,727.4000,,52.6000,195.8000,375.9000,,,,1337.8000,2620.3000,906.7000,2472.7000,1.3700,,5671.2000,1892.9000,1892.9000,,0.0000,249.9000,0.0000,-44.4000,0.0000,13.1000,,A,2520,3510,475,976
002444,12/31/2008,2008,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,12,03/13/2009,-432.3000,1736.9000,301.3000,3223.9000,317.5000,-1167.7000,88.3000,728.5000,,4.4000,76.8000,254.0000,0.3100,0.3100,42.3000,1044.6000,1458.4000,811.7000,2494.0000,0.5400,,4708.7000,729.9000,729.9000,,0.0000,103.2000,0.0000,236.2000,0.0000,155.9000,,A,2520,3510,475,976
002444,12/31/2009,2009,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,12,03/11/2010,-374.8000,1458.7000,261.2000,2709.4000,526.6000,-528.7000,88.4000,839.4000,,4.4000,-398.0000,-240.7000,,,,472.9000,1049.7000,484.9000,2499.1000,-5.6700,,2776.1000,210.3000,210.3000,,0.0000,79.3000,0.0000,-99.2000,5.0000,-98.5000,,A,2520,3510,475,976
002444,12/31/2010,2010,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,12,02/22/2011,-415.5000,1535.8000,288.2000,2678.0000,551.4000,-151.3000,88.7000,828.4000,,4.4000,78.6000,207.9000,,,,849.3000,898.8000,527.5000,2607.6000,-0.4800,,3403.3000,70.4000,70.4000,,0.0000,17.0000,0.0000,5.6000,0.0000,25.9000,,A,2520,3510,475,976
002444,12/31/2011,2011,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,12,03/05/2012,-540.8000,1356.1000,282.0000,2494.0000,338.2000,-53.4000,89.3000,690.4000,,4.5000,208.3000,312.8000,0.0500,0.0500,6.8000,979.9000,721.3000,532.6000,2463.1000,1.1600,,3748.0000,30.9000,30.9000,,0.0000,14.8000,0.0000,-3.3000,0.0000,17.4000,,A,2520,3510,475,976
002444,12/31/2012,2012,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,12,02/26/2013,-555.1000,1360.1000,334.4000,2424.2000,284.3000,35.7000,89.8000,563.6000,,4.5000,289.9000,379.9000,,,,1034.0000,641.3000,575.8000,2346.5000,2.1500,,3717.6000,77.7000,77.7000,,0.0000,18.8000,0.0000,8.3000,0.0000,33.6000,,A,2520,3510,475,976
002444,12/31/2013,2013,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,12,02/19/2014,-401.5000,1508.6000,315.6000,2915.8000,356.5000,922.8000,91.2000,453.4000,,9.1000,320.1000,407.6000,0.0200,0.0200,2.8000,1102.7000,1491.8000,599.3000,1877.4000,2.7700,,3887.5000,1038.4000,1038.4000,,377.0000,137.6000,0.0000,-604.4000,0.0000,-545.6000,,A,2520,3510,475,976
002444,12/31/2014,2014,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,12,02/25/2015,-480.5000,1967.8000,317.4000,3134.4000,552.7000,166.7000,93.6000,450.2000,,41.7000,360.6000,441.8000,,,,1118.0000,1621.7000,652.3000,1962.9000,2.2700,,3838.7000,1171.5000,1171.5000,,290.9000,208.0000,0.0000,48.3000,0.0000,93.0000,,A,2520,3510,475,976
002444,12/31/2015,2015,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,12,02/18/2016,-474.1000,1984.9000,339.1000,3152.5000,657.3000,247.8000,93.0000,442.5000,,48.3000,426.4000,515.3000,,,,1203.5000,1723.8000,685.0000,1871.2000,2.4200,,4105.7000,1281.3000,1281.3000,,239.7000,180.5000,0.0000,43.6000,0.0000,87.8000,,A,2520,3510,475,976
